dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-09,1,9,2020,2.0,1.0,Cyprus,CY,CYP,888005,Europe
2020-01-09,1,9,2020,26.0,0.0,Malta,MT,MLT,514564,Europe
2020-01-09,1,9,2020,1323.0,3.0,Germany,DE,DEU,83166711,Europe
2020-01-09,1,9,2020,48.0,0.0,Luxembourg,LU,LUX,626108,Europe
2020-01-10,1,10,2020,1967.0,30.0,Poland,PL,POL,37958138,Europe
2020-01-10,1,10,2020,2086.0,37.0,Romania,RO,ROU,19328838,Europe
2020-01-10,1,10,2020,633.0,1.0,Sweden,SE,SWE,10327589,Europe
2020-01-10,1,10,2020,787.0,6.0,Portugal,PT,PRT,10295909,Europe
2020-01-10,1,10,2020,131.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-10,1,10,2020,239.0,2.0,Slovenia,SI,SVN,2095861,Europe
2020-01-10,1,10,2020,2548.0,24.0,Italy,IT,ITA,59641488,Europe
2020-01-10,1,10,2020,37.0,1.0,Malta,MT,MLT,514564,Europe
2020-01-10,1,10,2020,679.0,6.0,Slovakia,SK,SVK,5457873,Europe
2020-01-10,1,10,2020,191.0,2.0,Finland,FI,FIN,5525292,Europe
2020-01-10,1,10,2020,10657.0,143.0,Spain,ES,ESP,47332614,Europe
2020-01-10,1,10,2020,133.0,1.0,Lithuania,LT,LTU,2794090,Europe
2020-01-10,1,10,2020,3423.0,15.0,Belgium,BE,BEL,11522440,Europe
2020-01-10,1,10,2020,263.0,12.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-10,1,10,2020,848.0,16.0,Hungary,HU,HUN,9769526,Europe
2020-01-10,1,10,2020,57.0,1.0,Estonia,EE,EST,1328976,Europe
2020-01-10,1,10,2020,2928.0,26.0,Germany,DE,DEU,83166711,Europe
2020-01-10,1,10,2020,123.0,0.0,Luxembourg,LU,LUX,626108,Europe
2020-01-10,1,10,2020,17.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-10,1,10,2020,411.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-10,1,10,2020,442.0,2.0,Ireland,IE,IRL,4964440,Europe
2020-01-10,1,10,2020,3503.0,29.0,Czechia,CZ,CZE,10693939,Europe
2020-01-10,1,10,2020,1.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-10,1,10,2020,3253.0,13.0,Netherlands,NL,NLD,17407585,Europe
2020-01-10,1,10,2020,790.0,8.0,Austria,AT,AUT,8901064,Europe
2020-01-10,1,10,2020,234.0,4.0,Croatia,HR,HRV,4058165,Europe
2020-01-10,1,10,2020,398.0,2.0,Denmark,DK,DNK,5822763,Europe
2020-01-10,1,10,2020,44.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-10,1,10,2020,13970.0,63.0,France,FR,FRA,67320216,Europe
2020-01-11,1,11,2020,1297.0,22.0,Sweden,SE,SWE,10327589,Europe
